species,te_level,composition_mode,feature,closed_proportion,clr_value
lycos,superfamily,classified_conditional,L2,0.095899139724702,3.466840806480047
lycos,superfamily,classified_conditional,MITE,0.0022334266332851974,-0.29291919186970805
lycos,superfamily,classified_conditional,MULE,0.00012745156667663245,-3.1564750605788925
lycos,superfamily,classified_conditional,Maverick,0.003987616996213856,0.28673760360004685
lycos,superfamily,classified_conditional,Mutator,0.02413810282276137,2.0873354171508054
lycos,superfamily,classified_conditional,P,8.897937307039809e-05,-3.5158069041889766
lycos,superfamily,classified_conditional,PIF-Harbinger,0.04902920262525739,2.795959887710133
lycos,superfamily,classified_conditional,Penelope,6.197602989720582e-05,-3.87746378807669
lycos,superfamily,classified_conditional,PiggyBac,0.00046207051763630147,-1.8684939687953834
lycos,superfamily,classified_conditional,Tc1-mariner,0.014181234218752855,1.555463351896793
lycos,superfamily,classified_conditional,hAT,0.09656018841187064,3.473710323205012
lycos,superfamily,classified_conditional,tRNA,0.002406678555835349,-0.21820860050155755
marmoratus,superfamily,classified_conditional,Academ,0.0004573190383901914,-2.0080537595645005
marmoratus,superfamily,classified_conditional,CACTA,0.009914101025457471,1.068278347180505
marmoratus,superfamily,classified_conditional,Copia,0.009926916461485136,1.0695701597418594
marmoratus,superfamily,classified_conditional,Cyrypton,0.0018768717966853687,-0.596073289521005
marmoratus,superfamily,classified_conditional,DIRS,0.07314573871242142,3.0667741291197967
marmoratus,superfamily,classified_conditional,EnSpm,0.00030749151424324403,-2.4049875306205344
marmoratus,superfamily,classified_conditional,Gypsy,0.5393137605494762,5.064617775045176
marmoratus,superfamily,classified_conditional,Helitron,0.003245316891529603,-0.0484667418341882
marmoratus,superfamily,classified_conditional,IS3EU,3.735755631394702e-05,-4.512899819463625
marmoratus,superfamily,classified_conditional,Jockey,0.0013559263595910593,-0.9211948615899832
marmoratus,superfamily,classified_conditional,Kolobok,0.00015789065420727813,-3.0715322900671236
marmoratus,superfamily,classified_conditional,L1,0.05043275705315934,2.6949611629404737
marmoratus,superfamily,classified_conditional,L2,0.09689422135537262,3.3479401394357375
marmoratus,superfamily,classified_conditional,MITE,0.002611938415024869,-0.2655871091197408
marmoratus,superfamily,classified_conditional,MULE,0.0001459309388682659,-3.1503015331812367
marmoratus,superfamily,classified_conditional,Maverick,0.006357467344463329,0.6239503392162575
marmoratus,superfamily,classified_conditional,Mutator,0.02272317645068074,1.8977056501020737
marmoratus,superfamily,classified_conditional,P,0.0001255910183923253,-3.3004042796674824
marmoratus,superfamily,classified_conditional,PIF-Harbinger,0.050024643227760505,2.6868360060182503
marmoratus,superfamily,classified_conditional,Penelope,7.65806346649092e-05,-3.79509078790805
marmoratus,superfamily,classified_conditional,PiggyBac,0.0008227397871098332,-1.4207950468977533
marmoratus,superfamily,classified_conditional,Tc1-mariner,0.015462511200072216,1.512738719508814
marmoratus,superfamily,classified_conditional,hAT,0.11338341910668331,3.5050954220653403
marmoratus,superfamily,classified_conditional,tRNA,0.0012003329079467683,-1.0430808009390606
mavrokoilius,superfamily,classified_conditional,Academ,0.00038526801304163393,-2.0305378967947902
mavrokoilius,superfamily,classified_conditional,CACTA,0.009685235217831307,1.1938807357025238
mavrokoilius,superfamily,classified_conditional,Copia,0.008999070301840462,1.1203994245255142
mavrokoilius,superfamily,classified_conditional,Cyrypton,0.0016334914906299548,-0.5860021049208255
mavrokoilius,superfamily,classified_conditional,DIRS,0.08193419060952209,3.3291945238239258
mavrokoilius,superfamily,classified_conditional,EnSpm,0.0003447599784287207,-2.141628666451324
mavrokoilius,superfamily,classified_conditional,Gypsy,0.5551860745246557,5.242581479290588
mavrokoilius,superfamily,classified_conditional,Helitron,0.002944777170814165,0.0033113030009532807
mavrokoilius,superfamily,classified_conditional,IS3EU,2.1401893647893485e-05,-4.920997720329271
mavrokoilius,superfamily,classified_conditional,Jockey,0.0010137274826966282,-1.0630877333684978
mavrokoilius,superfamily,classified_conditional,Kolobok,8.126361343957988e-05,-3.5867787694610387
mavrokoilius,superfamily,classified_conditional,L1,0.03962131993012518,2.602645507779261
