analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,4,iod_cell_only,2,4,13.294480193816216,0.0099230466207512,23.399743351710956,9.583103046823124,0.0082995704094923,0.0071664395450841,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,5,nucleus_bridge,1,5,11.69332029966196,0.0028895336697351,25.02665363299529,11.210013328107465,0.0036793960244798,0.0031770522895618,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,6,iod_collider,1,5,11.933720368914171,0.0025622738695082,25.2670537022475,11.450413397359672,0.0032626788148696,0.002817229004413,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,16.36305416381678,0.002568756004206,26.46831732171152,12.651677016823689,0.0017894651397098,0.0015451515089382,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,8,nucleus_collider,1,5,15.06912357585668,0.0005342953468401301,28.40245690919001,14.585816604302185,0.000680346519458259,0.0005874595865624155,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,23.69386990551808,9.19900908428195e-05,33.79913306341281,19.982492758524984,4.5799088020319135e-05,3.95461908657608e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,10,independent,3,3,31.67257780892567,1.8852948353242915e-05,38.87257780892567,25.055937504037843,3.62386742840388e-06,3.1291049492577863e-06,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.9551526037181092,0.6202849548952889,14.28848593705144,0.0,1.0,0.7803664318705924,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,2,cell_collider,1,5,3.8243379953968577,0.1477595486519182,17.15767132873019,2.869185391678748,0.2382123691471151,0.1858929365387746,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,3,iod_bridge,1,5,9.018895774733805,0.0110045342412443,22.35222910806713,8.063743171015695,0.0177410948861432,0.0138445549137772,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,4,iod_cell_only,2,4,12.84323377013066,0.0120677346891312,22.9484969280254,8.660010990973959,0.0131674751281928,0.0102754555825325,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,5,iod_collider,1,5,11.412059528685669,0.0033258507785943,24.745392862019,10.45690692496756,0.005361811135909,0.0041841774244933,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0009,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,12.323235819287992,0.002108838599854,25.656569152621323,11.368083215569882,0.0033997900210395,0.0026530820078278,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
