analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,7,nucleus_cell_only,2,4,20.05614007695127,0.0004868150922434644,30.27836229917349,16.68871314866303,0.00023773437610816536,0.00021589078627513064,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,8,nucleus_collider,1,5,18.757350158040285,8.450709361484954e-05,32.286761922746166,18.697112772235705,8.70910542431779e-05,7.908892473141977e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,9,iod_nucleus_only,2,4,25.32077615585513,4.336370251445398e-05,35.54299837807736,21.953349227566896,1.709585342232776e-05,1.552504647334406e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,10,independent,3,3,36.17596164935964,2.54782771791362e-06,43.439119544096485,29.849470393586024,3.2981458738579945e-07,2.995104526378271e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,1,cell_bridge,1,5,0.0882117259565232,0.9568526568391372,13.617623490662409,0.0,1.0,0.9137159476912606,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,2,cell_collider,1,5,6.120523964169428,0.0468754130927662,19.649935728875317,6.032312238212906,0.0489891654245014,0.0447621817124522,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,3,iod_bridge,1,5,6.932543760328312,0.0312332551951806,20.461955525034195,6.844332034371789,0.0326416559247025,0.0298252015774516,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,4,iod_cell_only,2,4,13.05306772449774,0.0110193855241526,23.27528994671996,9.657666456057555,0.0079958451534837,0.0073059312320079,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,5,iod_collider,1,5,11.641166310370744,0.0029658750749512,25.170578075076627,11.55295458441422,0.0030996152372599,0.0028321678739912,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,6,nucleus_bridge,1,5,13.436586807115788,0.0012085990457851,26.96599857182167,13.348375081159263,0.0012630983852599,0.001154113138115,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,7,nucleus_cell_only,2,4,19.557110771285217,0.0006106437448096802,29.77933299350744,16.16170950284503,0.00030940645675119483,0.00028270961385221306,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,8,nucleus_collider,1,5,18.24272446142409,0.000109305676322613,31.77213622612997,18.154512735467563,0.00011423459562070147,0.0001043779717966972,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,9,iod_nucleus_only,2,4,25.1752682217524,4.6387803526726223e-05,35.39749044397462,21.77986695331221,1.864498261685293e-05,1.7036217961444856e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,fuscus,focal_primary_minus_one,lambda,,,23,10,independent,3,3,36.00441473596426,2.751185529836775e-06,43.2675726307011,29.649949140038697,3.6441424888020977e-07,3.329711107677798e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
