analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,10,independent,3,3,24.465902883703556,0.0004286010082847902,32.18018859798927,15.333748059894976,0.0004680787392454458,0.0002029434770946864,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,1,cell_bridge,1,5,1.846440532759715,0.3972377677427554,16.846440532759715,0.0,1.0,0.4335669638109981,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,2,nucleus_bridge,1,5,2.438963152870513,0.2953832608798992,17.438963152870514,0.5925226201107989,0.7435930942779445,0.3223974001969136,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,3,nucleus_cell_only,2,4,8.453626269627346,0.0763054140571994,19.530549346550423,2.684108813790708,0.2613082832263711,0.1132946389771221,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,4,cell_collider,1,5,6.014663116756833,0.0494233863765537,21.014663116756832,4.168222583997117,0.1244176420016525,0.0539433792871802,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,5,nucleus_collider,1,5,6.494008233147508,0.0388905450176408,21.494008233147508,4.647567700387793,0.097902435709048,0.0424472618000734,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,6,iod_bridge,1,5,8.072593537319552,0.0176627607412552,23.072593537319552,6.226153004559837,0.0444639512542355,0.0192781003443391,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,7,iod_cell_only,2,4,14.087256654076384,0.0070217130872777,25.16417973099946,8.317739198239746,0.0156252106926673,0.0067745751589269,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,8,iod_nucleus_only,2,4,14.56660177046706,0.0056899185892094,25.643524847390136,8.797084314630421,0.0122952513861247,0.005330814812775,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,9,iod_collider,1,5,11.95723157490613,0.0025323291491018,26.95723157490613,10.110791042146417,0.0063748448781481,0.0027639221385847,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_006,published_bootstrap_006,lambda,,,18,10,independent,3,3,24.46590292481047,0.0004286010007994445,32.18018863909619,15.333748106336472,0.0004680787283763075,0.0002029434730866285,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_007,published_bootstrap_007,lambda,,,18,1,cell_bridge,1,5,1.846440532029421,0.3972377678878056,16.846440532029423,0.0,1.0,0.4335669625667432,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_007,published_bootstrap_007,lambda,,,18,2,nucleus_bridge,1,5,2.4389631528024625,0.2953832608899496,17.43896315280246,0.592522620773039,0.7435930940317259,0.3223973991649421,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_007,published_bootstrap_007,lambda,,,18,3,nucleus_cell_only,2,4,8.453626247415304,0.0763054147425139,19.53054932433838,2.684108792308958,0.2613082860330507,0.1132946398688715,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_007,published_bootstrap_007,lambda,,,18,4,cell_collider,1,5,6.014663094612841,0.0494233869237692,21.014663094612843,4.16822256258342,0.1244176433337734,0.0539433797099365,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_007,published_bootstrap_007,lambda,,,18,5,nucleus_collider,1,5,6.494008211773779,0.0388905454332588,21.494008211773775,4.647567679744356,0.0979024367195694,0.0424472621163865,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
