species,display_species,rank,superfamily,classified_conditional_proportion,top10_renormalized_proportion,shannon_component,gini_simpson_squared_component
mavrokoilius,D. mavrokoilius,8,Tc1-mariner,0.01322526276372971,0.01345188798640671,0.05795928631790072,1.8095329039883318e-4
mavrokoilius,D. mavrokoilius,9,CACTA,0.00968521002564023,0.009851173675508404,0.04551404463294733,9.704562278502975e-5
mavrokoilius,D. mavrokoilius,10,Copia,0.00899904689442769,0.009153252602303947,0.04296212734662801,8.378203320158397e-5
monticola,D. monticola,1,Gypsy,0.5557825983162302,0.5631011701380543,0.32338673197764173,0.31708292781084596
monticola,D. monticola,2,hAT,0.10105665913625332,0.10238737805441105,0.23333999860958693,0.010483175184856893
monticola,D. monticola,3,L2,0.0993249749610094,0.10063289097917055,0.23108090511117058,0.010126978746825626
monticola,D. monticola,4,DIRS,0.07271737529867116,0.07367492117259768,0.192151032945916,0.005427994009788481
monticola,D. monticola,5,L1,0.05591349955503885,0.056649771189924134,0.16263397739110133,0.0032091965758707583
monticola,D. monticola,6,PIF-Harbinger,0.04944240514539141,0.05009346509976297,0.14997305769088026,0.002509355245701171
monticola,D. monticola,7,Mutator,0.02244107495485058,0.022736580102571242,0.0860302214540647,5.169520747606385e-4
monticola,D. monticola,8,Tc1-mariner,0.0127347408724246,0.012902432548971351,0.056129960876250204,1.6647276568075535e-4
monticola,D. monticola,9,CACTA,0.00956246151278012,0.009688380463079623,0.04492335382447345,9.386471599738293e-5
monticola,D. monticola,10,Copia,0.00802730629840308,0.00813301025145707,0.039134615215971245,6.614585575030579e-5
ocoee,D. ocoee,1,Gypsy,0.550584256107676,0.5584531047702767,0.32534619563267414,0.3118698702275616
ocoee,D. ocoee,2,hAT,0.09637111361970928,0.09774843180508704,0.22730010992411642,0.009554755920353751
ocoee,D. ocoee,3,L2,0.0945549393223847,0.09590630107960088,0.22484115886623382,0.009198018586771052
ocoee,D. ocoee,4,DIRS,0.07598313577090042,0.07706907273633033,0.19753213432346772,0.005939641972437775
ocoee,D. ocoee,5,L1,0.06465607445939624,0.06558012715323012,0.1786719132798065,0.004300753077433831
ocoee,D. ocoee,6,PIF-Harbinger,0.04836761588582798,0.04905887693325965,0.14789947077380725,0.002406773405952716
ocoee,D. ocoee,7,Mutator,0.02550622474289908,0.02587075500367156,0.09454835036117541,6.69295964459997e-4
ocoee,D. ocoee,8,Tc1-mariner,0.0127365180291591,0.01291854599626526,0.05618393633623592,1.6688883065762116e-4
