species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
intermedius,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),42.1488,50,2,2,median among frozen composite top 50
intermedius,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.155247,50,2,2,median among frozen composite top 50
intermedius,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),277.3584,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
intermedius,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),42.9048,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
intermedius,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.156022,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
intermedius,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),294.8472,50,2,2,median among literal largest 50
intermedius,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),45.4392,50,2,2,median among literal largest 50
intermedius,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.1533715,50,2,2,median among literal largest 50
intermedius,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),278.5536,100,2,2,median among literal largest 100
intermedius,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),44.64,100,2,2,median among literal largest 100
intermedius,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.155908,100,2,2,median among literal largest 100
intermedius,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),234.8496,355,2,2,median among all eligible candidates
intermedius,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),41.472,355,2,2,median among all eligible candidates
intermedius,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.179745,355,2,2,median among all eligible candidates
intermedius,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),295.9992,44,2,2,median among manual keeps
